,tripid,prediction
0,219731588,1
1,221777445,1
2,215531938,1
3,217354356,1
4,218438524,1
5,217053984,1
6,218143077,1
7,219218804,1
8,219018306,1
9,218286499,1
10,216973317,1
11,220206566,1
12,220350955,1
13,215940444,1
14,221928378,1
15,219554698,1
16,218393494,0
17,220846408,1
18,215979044,1
19,213843772,0
20,213671285,1
21,216459034,1
22,217430701,1
23,221487180,1
24,219784553,1
25,218385888,1
26,215501235,1
27,218933310,1
28,217137218,0
29,216961384,1
30,216366128,1
31,216670922,0
32,216968634,1
33,222573253,1
34,214494498,1
35,220554052,1
36,217615585,1
37,214052628,1
38,219766541,1
39,217908694,1
40,214379037,1
41,215583089,1
42,219785074,0
43,216038981,1
44,218188140,1
45,221935150,1
46,215584997,1
47,215024646,0
48,218946859,1
49,215353015,1
50,219294278,1
51,218725424,1
52,217053333,1
53,216701923,0
54,213700646,0
55,214975951,1
56,217708286,1
57,218529721,1
58,216605827,1
59,221091301,1
60,219872583,1
61,221077701,1
62,218549302,0
63,221763629,0
64,215113650,1
65,214786125,1
66,219551836,1
67,222662775,1
68,218364829,1
69,218620291,1
70,221120107,1
71,220179090,1
72,218557670,1
73,215785856,1
74,216102207,1
75,221701700,1
76,219009523,1
77,222761708,1
78,219374270,1
79,216505140,1
80,219583924,1
81,214975185,1
82,214838046,1
83,213490677,1
84,217031816,1
85,222691157,1
86,217678521,1
87,215119596,1
88,221113803,1
89,219859295,1
90,221364897,1
91,218364298,1
92,214335787,1
93,216451144,1
94,216928773,1
95,219638132,1
96,213467978,1
97,215738391,1
98,214074944,1
99,214193516,1
100,221618977,1
101,216166840,0
102,217249182,1
103,214923357,1
104,214107035,1
105,217617355,1
106,213884103,1
107,216969173,1
108,218413414,1
109,220625101,1
110,215289405,1
111,214675271,1
112,216828363,1
113,215841916,1
114,217573143,0
115,214007592,0
116,217712836,1
117,218119852,1
118,219661835,1
119,214401761,1
120,213596294,1
121,219814149,1
122,220921823,1
123,214779875,1
124,220804312,1
125,219996745,1
126,213320842,1
127,216957165,1
128,216544459,1
129,214686979,1
130,215476024,1
131,220219727,1
132,217640964,1
133,217875288,1
134,213590807,0
135,215257145,1
136,214616636,1
137,221900836,1
138,214847671,1
139,217168942,1
140,218938763,1
141,215589840,1
142,219407539,1
143,213294622,1
144,222673826,1
145,222667278,1
146,215109847,1
147,213495875,1
148,216531064,1
149,221315558,1
150,214802500,0
151,219538565,1
152,220818770,1
153,216826195,1
154,217224712,1
155,216649574,1
156,219807434,1
157,214265222,1
158,217169757,1
159,221447715,1
160,217729573,1
161,214765688,0
162,214022993,1
163,221117089,1
164,213586567,0
165,221854058,1
166,218047061,1
167,222427376,1
168,217320424,1
169,221370519,1
170,220251143,1
171,217244445,1
172,220154744,1
173,217426266,1
174,214960877,1
175,218502556,1
176,216124013,1
177,215266882,1
178,215864353,1
179,219768258,1
180,220063112,1
181,221029495,1
182,221944354,1
183,218887854,1
184,213885691,1
185,214796608,1
186,220176051,0
187,213332013,1
188,217767568,1
189,217911746,1
190,220404985,0
191,221045034,1
192,214829808,0
193,218574883,1
194,215756631,0
195,216914489,0
196,216948437,1
197,221287480,1
198,222662879,1
199,216613862,1
200,222534228,1
201,222631456,1
202,216572219,1
203,219939577,1
204,221952810,1
205,215381909,1
206,214303195,1
207,213557012,1
208,217111880,1
209,222748318,1
210,217772795,1
211,215665107,1
212,222824806,1
213,220649245,1
214,222742739,1
215,213550277,0
216,215023561,1
217,218617293,1
218,222069148,1
219,218571386,1
220,216753580,1
221,217663259,1
222,221164100,1
223,221484217,1
224,216715841,1
225,222278546,1
226,215035430,1
227,213345930,1
228,216568056,1
229,219775307,1
230,218243374,1
231,214226713,0
232,218355326,1
233,218094783,1
234,214450378,1
235,215059062,1
236,213914912,1
237,215113547,1
238,218895835,1
239,219456221,1
240,219644359,1
241,214708764,1
242,218467459,1
243,220271781,0
244,221930021,1
245,221423120,1
246,213604153,1
247,218344261,1
248,217042202,1
249,215341156,1
250,216724408,1
251,215380154,1
252,217404546,1
253,220988011,1
254,218000367,1
255,218699151,1
256,217801767,1
257,215577745,1
258,214071661,1
259,215366504,0
260,215182458,1
261,221508724,1
262,222097362,1
263,213757178,0
264,219295854,1
265,222249322,1
266,214261776,1
267,216975048,1
268,216599850,1
269,216094431,1
270,217301369,1
271,218964368,1
272,216830454,1
273,215966146,1
274,214116233,0
275,221792644,1
276,218953203,1
277,218123396,1
278,213656949,1
279,218795115,1
280,217814495,1
281,214295680,1
282,216050111,1
283,218751630,1
284,221434459,1
285,218364470,1
286,216404897,1
287,219946735,0
288,218943661,1
289,220382577,1
290,217443081,1
291,215472551,1
292,216205464,1
293,214282781,1
294,215971825,0
295,218609430,1
296,217022568,1
297,216077866,1
298,219981997,1
299,215163076,1
300,222688150,1
301,222684764,1
302,216065031,0
303,218885150,1
304,219566407,1
305,216764740,1
306,217295681,1
307,218225769,0
308,214948319,1
309,213573172,1
310,216473948,1
311,213916985,1
312,221473680,1
313,217189420,1
314,215841911,1
315,222067868,1
316,213559233,1
317,213572156,1
318,221284133,1
319,218556511,1
320,222099500,1
321,222372786,1
322,214857839,1
323,219340975,1
324,213318917,1
325,214884818,1
326,220548775,1
327,215108957,0
328,215369631,1
329,214089584,1
330,216170983,1
331,219979975,1
332,220426831,1
333,215462431,1
334,218280649,1
335,221018065,1
336,217155025,1
337,219565873,1
338,218535108,1
339,213705497,1
340,213500906,1
341,217713142,1
342,221774209,1
343,216512794,0
344,219993317,1
345,222794251,1
346,216710023,1
347,215872608,1
348,214811246,1
349,219891891,1
350,216121683,1
351,213517311,1
352,220961442,1
353,213404574,1
354,221274440,0
355,214425149,1
356,213413225,1
357,213394134,1
358,214330728,1
359,221556733,1
360,221440701,1
361,217122981,1
362,217524577,1
363,214241659,1
364,214938102,1
365,215439415,1
366,221628821,1
367,220043537,0
368,217267883,1
369,222461852,1
370,221160496,1
371,213500579,1
372,215596360,1
373,221793508,1
374,213381247,1
375,218128093,1
376,215584696,1
377,222608457,1
378,216533495,1
379,221450300,1
380,218119419,1
381,218811640,1
382,216984762,1
383,217671723,1
384,216956008,1
385,213438619,1
386,214557970,1
387,220350129,1
388,222711496,1
389,214790390,0
390,217116696,0
391,214695252,1
392,222526273,1
393,213698887,1
394,214581480,1
395,220460076,1
396,216602582,1
397,213310221,1
398,213462252,1
399,222217117,1
400,221862712,1
401,216048847,1
402,215655686,1
403,213524004,1
404,219574270,1
405,215715701,1
406,215268201,0
407,213358561,1
408,217730564,1
409,220895829,1
410,213431675,1
411,220731493,1
412,216560249,1
413,217688901,1
414,220171975,1
415,215801688,1
416,218739826,1
417,214846599,1
418,217203194,1
419,221149210,1
420,213482107,1
421,217417163,1
422,217166838,1
423,221943193,0
424,216682024,1
425,214963932,1
426,218206756,1
427,214642554,1
428,214737864,1
429,220646871,1
430,214399282,1
431,218264407,1
432,216487940,1
433,216409476,1
434,217411209,1
435,216346168,1
436,219613154,1
437,221434747,1
438,221916418,1
439,215366346,1
440,218025264,1
441,216344693,1
442,216313634,1
443,218852476,1
444,215331417,1
445,215480275,1
446,213876208,1
447,216577433,1
448,213491668,1
449,217289314,1
450,213347960,1
451,222793877,1
452,220055649,1
453,216005389,1
454,217886116,1
455,214115536,1
456,218361536,1
457,217694436,1
458,217603404,1
459,219419884,1
460,219340390,1
461,214965195,1
462,217537902,1
463,221432159,1
464,215271086,1
465,215662929,1
466,213647690,1
467,214733273,1
468,214752597,1
469,218279971,1
470,214312433,1
471,218112700,1
472,222092450,1
473,222084550,1
474,217012549,1
475,216177609,1
476,222827460,1
477,216485576,1
478,216457976,1
479,220402249,1
480,215377785,1
481,220173063,1
482,213936860,1
483,214406768,1
484,216229263,1
485,219422385,0
486,221591174,1
487,214756187,1
488,213498897,1
489,214973036,1
490,214736910,1
491,215629603,1
492,214395423,1
493,213842579,1
494,219089726,1
495,215000536,1
496,219820957,1
497,216774294,1
498,217183746,1
499,217222979,1
500,215772348,1
501,215351510,1
502,215894947,1
503,217306082,1
504,213899891,0
505,218558650,1
506,216858359,1
507,214997646,1
508,213841241,1
509,221873255,1
510,217551406,1
511,220824797,0
512,216390524,1
513,215808701,1
514,217116881,1
515,214807110,1
516,220142968,1
517,217084722,1
518,217527543,1
519,218922035,1
520,222482901,1
521,218037449,1
522,214793312,1
523,218200248,1
524,215615896,1
525,222288108,1
526,220992531,1
527,215182861,1
528,221398631,1
529,215124876,1
530,219696259,1
531,222790907,1
532,221157789,1
533,220879197,1
534,218101953,1
535,220480691,1
536,215642792,0
537,222271498,1
538,221453614,1
539,216000191,1
540,215384422,1
541,216854979,1
542,222628721,1
543,215528838,1
544,215339526,1
545,220294429,1
546,213504619,1
547,214282581,1
548,218066948,1
549,219880077,1
550,213763862,1
551,215431460,1
552,222777694,1
553,222833707,1
554,214441551,1
555,217804557,1
556,222560064,0
557,219807425,1
558,216677521,1
559,219127111,1
560,222090594,1
561,216584586,1
562,220004783,1
563,220537886,1
564,216407926,1
565,220581773,1
566,219413630,1
567,217757434,1
568,213586234,1
569,216976283,0
570,214058248,1
571,221341872,1
572,218160950,1
573,219079765,1
574,213693420,1
575,218805825,1
576,218650245,0
577,222222924,1
578,221059583,1
579,217869151,1
580,215951904,1
581,213316124,1
582,217085188,1
583,219328178,1
584,217357573,0
585,217726057,1
586,222534633,1
587,219878386,1
588,222473746,1
589,218582493,1
590,219548140,1
591,217737627,1
592,222558888,1
593,215343882,1
594,217258301,1
595,213332119,1
596,222137448,1
597,217645633,0
598,214850018,0
599,219745692,1
600,222429026,1
601,215728605,1
602,218031384,1
603,220857021,1
604,222854087,1
605,220805506,1
606,222109304,1
607,215161259,1
608,216624361,1
609,222181520,1
610,213327454,1
611,217321929,0
612,215805385,1
613,214983272,1
614,214606125,0
615,219285324,0
616,222450904,1
617,220490284,1
618,215039108,1
619,221777461,1
620,218271260,0
621,221767193,1
622,216443341,1
623,219852506,1
624,214343733,1
625,220688169,1
626,220502245,1
627,221644989,1
628,218348519,0
629,221971488,1
630,214379090,0
631,214936035,1
632,214384773,1
633,214175894,1
634,218202225,1
635,217622464,1
636,216272102,1
637,215669865,1
638,218569703,1
639,214830987,1
640,221839392,1
641,217881816,1
642,213316458,1
643,217195703,1
644,221927211,1
645,222191017,1
646,214274661,1
647,215261179,1
648,214782656,0
649,216467810,1
650,222699074,1
651,220127402,0
652,216476376,0
653,221165505,1
654,215193635,1
655,218798237,0
656,216510221,1
657,218875729,1
658,222604955,1
659,222622930,1
660,221529130,1
661,222748945,1
662,213871952,1
663,222804640,1
664,214405878,1
665,217267793,0
666,218718351,1
667,220164174,1
668,217790090,1
669,220393364,1
670,222591605,1
671,214181840,1
672,216630125,0
673,217766554,1
674,215297651,1
675,213942834,1
676,221666476,1
677,217758041,1
678,218308014,1
679,216504298,1
680,213471790,1
681,220883373,1
682,219624417,1
683,221377185,1
684,222730013,1
685,217512581,1
686,219533831,1
687,222750318,1
688,221343548,1
689,216652346,1
690,213666108,1
691,213399449,1
692,218707831,1
693,218186574,1
694,220942899,1
695,218712457,0
696,217726442,1
697,216402683,1
698,221646454,1
699,215257226,1
700,216622961,0
701,218361071,1
702,213330410,1
703,216770871,1
704,213504125,1
705,216971833,1
706,214061910,1
707,214461606,1
708,222553745,1
709,220469243,1
710,222653156,1
711,216570421,1
712,217074655,1
713,220688677,1
714,215898940,1
715,217077759,1
716,221384204,1
717,221676848,1
718,215769040,1
719,217857988,1
720,213642196,1
721,222171299,1
722,218374801,1
723,216023579,1
724,217041238,1
725,214990570,1
726,222243043,1
727,222006952,1
728,213403863,1
729,220153251,1
730,217424547,1
731,219042606,0
732,222424741,1
733,215549769,1
734,219346981,1
735,219817952,1
736,222478648,1
737,216865032,1
738,221043579,1
739,219604999,1
740,217219465,1
741,218140919,1
742,217562112,1
743,217509379,1
744,220054359,1
745,219524785,1
746,217873242,1
747,215768091,0
748,221914187,1
749,219494066,1
750,216995758,1
751,219589093,1
752,221301090,1
753,216970443,1
754,222214751,1
755,218182066,1
756,219137027,1
757,217184666,1
758,221383696,1
759,218992750,0
760,213534966,1
761,214448026,1
762,221032375,1
763,213925924,1
764,220773936,1
765,218386743,1
766,217398384,1
767,218920029,1
768,222470885,1
769,214953130,1
770,216967823,1
771,220309246,1
772,222201371,1
773,213480815,1
774,214606491,0
775,221779562,1
776,215612324,0
777,217047945,1
778,222737597,1
779,215374728,1
780,214551186,1
781,215734554,1
782,220121816,1
783,222271760,1
784,221037995,1
785,219840069,0
786,222623498,1
787,214897241,1
788,222337356,1
789,218988534,1
790,214605718,1
791,219467806,1
792,213536125,1
793,222502852,0
794,222060263,1
795,214122710,1
796,221628493,1
797,213714996,1
798,216978752,1
799,222114382,1
800,219292263,1
801,215273257,1
802,214552867,1
803,213541433,1
804,215614431,1
805,215507441,1
806,214811373,1
807,221213506,1
808,221491027,1
809,220045145,1
810,217845315,1
811,222430216,1
812,222808609,1
813,214745332,0
814,216247954,1
815,214311158,1
816,220652926,1
817,221720483,1
818,219586811,1
819,215397884,0
820,218193466,1
821,220486857,1
822,214047823,1
823,214216164,0
824,219816064,1
